source_market,source_stock_code,target_market,target_stock_code,relationship_type_code,impact_direction,source,corr_train,n_train
KOSPI,017670,NASDAQ,AMD,PARTNER,POSITIVE,price,-0.0073,1413
KOSPI,259960,NASDAQ,NVDA,PARTNER,NEGATIVE,price,-0.0985,235
KOSPI,005380,KOSPI,267260,PARTNER,NEGATIVE,price,-0.0919,1182
KOSPI,241560,KOSPI,267270,PARTNER,POSITIVE,price,0.146,1182
KOSPI,005930,NASDAQ,ASML,PARTNER,POSITIVE,price,0.0894,1413
KOSPI,010120,KOSPI,015760,PARTNER,POSITIVE,price,0.0287,1415
KOSPI,017670,NASDAQ,MSFT,PARTNER,POSITIVE,price,-0.007,1413
KOSPI,005930,NASDAQ,CDNS,PARTNER,POSITIVE,price,0.0142,1413
KOSPI,000660,NASDAQ,NVDA,SUPPLY,POSITIVE,price,0.0537,1413
KOSPI,175330,KOSPI,377300,PARTNER,NEGATIVE,price,-0.1723,235
KOSPI,035720,KOSPI,352820,PARTNER,POSITIVE,price,0.2977,474
KOSPI,030200,KOSPI,272210,PARTNER,NEGATIVE,price,-0.176,714
KOSPI,028260,KOSPI,034020,PARTNER,POSITIVE,price,-0.0315,1415
KOSPI,032640,NASDAQ,NFLX,PARTNER,POSITIVE,price,0.0015,1413
KOSPI,021240,KOSPI,055550,PARTNER,POSITIVE,price,0.0859,1415
KOSPI,329180,NASDAQ,PLTR,PARTNER,POSITIVE,price,-0.021,235
KOSPI,035420,KOSPI,316140,PARTNER,NEGATIVE,price,-0.0934,714
KOSPI,030200,KOSPI,316140,PARTNER,POSITIVE,price,0.0913,714
KOSPI,015760,KOSPI,298040,PARTNER,POSITIVE,price,-0.0187,950
KOSPI,024110,KOSPI,030200,PARTNER,POSITIVE,price,0.1741,1415
KOSPI,030200,NASDAQ,CSCO,PARTNER,POSITIVE,price,-0.0201,1413
KOSPI,030200,NASDAQ,INTC,PARTNER,POSITIVE,price,0.0341,1413
NASDAQ,AVGO,KOSPI,005930,SUPPLY,POSITIVE,price,-0.0068,1413
KOSPI,316140,KOSPI,377300,PARTNER,POSITIVE,price,-0.0067,235
KOSPI,000100,KOSPI,0126Z0,PARTNER,POSITIVE,fallback,,0
KOSPI,010140,KOSPI,011070,PARTNER,NEGATIVE,price,-0.0914,1415
KOSPI,000720,KOSPI,030200,PARTNER,NEGATIVE,price,-0.0894,1415
KOSPI,010120,KOSPI,055550,PARTNER,NEGATIVE,price,-0.0924,1415
KOSPI,029780,KOSPI,035420,PARTNER,POSITIVE,price,-0.0088,1415
KOSPI,0126Z0,KOSPI,207940,PARTNER,POSITIVE,fallback,,0
KOSPI,005490,KOSPI,015760,PARTNER,POSITIVE,price,-0.0283,1415
KOSPI,267250,NASDAQ,GOOGL,PARTNER,POSITIVE,price,-0.0128,1182
KOSPI,015760,KOSPI,086790,PARTNER,POSITIVE,price,0.0,1415
KOSPI,005380,NASDAQ,AAPL,PARTNER,POSITIVE,price,-0.0263,1413
KOSPI,030200,KOSPI,329180,PARTNER,POSITIVE,price,0.0114,235
KOSPI,000810,KOSPI,377300,PARTNER,NEGATIVE,price,-0.2078,235
KOSPI,000720,KOSPI,071050,PARTNER,POSITIVE,price,-0.0433,1415
KOSPI,017670,KOSPI,024110,PARTNER,POSITIVE,price,0.097,1415
KOSPI,071050,KOSPI,323410,PARTNER,POSITIVE,price,0.0662,235
KOSPI,032640,KOSPI,086790,PARTNER,POSITIVE,price,0.0922,1415
KOSPI,017670,NASDAQ,INTC,PARTNER,POSITIVE,price,-0.0175,1413
KOSPI,012330,KOSPI,032640,PARTNER,POSITIVE,price,0.0637,1415
KOSPI,006800,KOSPI,024110,PARTNER,POSITIVE,price,0.1646,1415
KOSPI,000720,KOSPI,055550,PARTNER,NEGATIVE,price,-0.0713,1415
KOSPI,024110,KOSPI,032640,PARTNER,POSITIVE,price,0.111,1415
KOSPI,029780,KOSPI,377300,PARTNER,NEGATIVE,price,-0.1516,235
KOSPI,042700,NASDAQ,MU,SUPPLY,POSITIVE,price,0.1169,1413
KOSPI,003490,NASDAQ,SBUX,PARTNER,POSITIVE,price,0.0626,1413
KOSPI,047810,NASDAQ,SPCX,PARTNER,POSITIVE,fallback,,0
KOSPI,015760,KOSPI,017670,PARTNER,POSITIVE,price,0.1076,1415
KOSPI,0126Z0,KOSPI,128940,PARTNER,POSITIVE,fallback,,0
KOSPI,032640,NASDAQ,GOOGL,PARTNER,POSITIVE,price,0.0287,1413
KOSPI,018260,KOSPI,064400,COMPETE,POSITIVE,price,,0
KOSPI,034020,KOSPI,047040,PARTNER,POSITIVE,price,0.1206,1415
KOSPI,003490,KOSPI,035420,PARTNER,POSITIVE,price,0.0057,1415
KOSPI,029780,KOSPI,323410,PARTNER,NEGATIVE,price,-0.1446,235
KOSPI,003670,KOSPI,373220,PARTNER,POSITIVE,fallback,,0
KOSPI,005930,NASDAQ,AMD,PARTNER,POSITIVE,price,0.0468,1413
KOSPI,042660,KOSPI,329180,COMPETE,POSITIVE,price,0.3987,235
KOSPI,042700,KOSPI,000660,SUPPLY,POSITIVE,price,0.2712,1415
KOSPI,035420,KOSPI,352820,PARTNER,POSITIVE,price,0.2342,474
KOSPI,032640,NASDAQ,QCOM,PARTNER,POSITIVE,price,-0.0159,1413
KOSPI,064400,NASDAQ,AMZN,PARTNER,POSITIVE,fallback,,0
KOSPI,006800,KOSPI,017670,PARTNER,POSITIVE,price,0.0091,1415
KOSPI,005930,NASDAQ,SNPS,PARTNER,POSITIVE,price,0.017,1413
KOSPI,051910,KOSPI,090430,PARTNER,POSITIVE,price,-0.0199,1415
KOSPI,079550,KOSPI,272210,PARTNER,POSITIVE,price,0.2778,714
KOSPI,030200,NASDAQ,MSFT,PARTNER,POSITIVE,price,-0.0254,1413
KOSPI,005930,NASDAQ,AVGO,COMPETE,POSITIVE,price,-0.0068,1413
KOSPI,035420,NASDAQ,QCOM,PARTNER,POSITIVE,price,-0.019,1413
KOSPI,017670,KOSPI,035720,PARTNER,POSITIVE,price,-0.0078,1415
KOSPI,012450,KOSPI,373220,PARTNER,POSITIVE,fallback,,0
KOSPI,086280,KOSPI,373220,PARTNER,POSITIVE,fallback,,0
KOSPI,005930,KOSPI,029780,PARTNER,NEGATIVE,price,-0.0536,1415
KOSPI,010950,KOSPI,055550,PARTNER,POSITIVE,price,0.0935,1415
KOSPI,017670,KOSPI,377300,PARTNER,NEGATIVE,price,-0.1552,235
NASDAQ,SPCX,NASDAQ,TMUS,PARTNER,POSITIVE,fallback,,0
KOSPI,032640,KOSPI,105560,PARTNER,POSITIVE,price,0.0798,1415
KOSPI,000660,NASDAQ,SNDK,PARTNER,POSITIVE,fallback,,0
