source_market,source_stock_code,target_market,target_stock_code,relationship_type_code,window_type,score,impact_direction,confidence,evidence_count,formula_version,as_of_at
KOSPI,005380,KOSPI,010120,PARTNER,30D,17.46,NEGATIVE,0.748,18,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,011070,NASDAQ,AAPL,SUPPLY,30D,32.55,POSITIVE,0.713,68,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,035720,KOSPI,352820,COMPETE,30D,49.91,POSITIVE,0.685,207,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,000720,KOSPI,316140,PARTNER,30D,17.58,POSITIVE,0.629,7,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,017670,NASDAQ,AMZN,PARTNER,30D,23.9325,NEGATIVE,0.62,80,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,009830,NASDAQ,MSFT,PARTNER,30D,13.815,POSITIVE,0.6,5,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,055550,KOSPI,064400,PARTNER,30D,20.3925,POSITIVE,0.693,12,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,047810,KOSPI,329180,PARTNER,30D,20.07,POSITIVE,0.728,20,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,064350,KOSPI,086790,PARTNER,30D,11.31,NEGATIVE,0.657,6,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005490,KOSPI,267250,PARTNER,30D,14.0525,POSITIVE,0.6,5,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,011070,NASDAQ,TSLA,SUPPLY,30D,14.055,POSITIVE,0.7,7,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,066570,KOSPI,079550,PARTNER,30D,14.64,POSITIVE,0.662,7,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,017670,NASDAQ,AMD,PARTNER,30D,12.0975,POSITIVE,0.6,4,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,259960,NASDAQ,NVDA,PARTNER,30D,22.185,NEGATIVE,0.65,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005380,KOSPI,267260,PARTNER,30D,7.7475,NEGATIVE,0.7,7,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,241560,KOSPI,267270,PARTNER,30D,26.11,POSITIVE,0.667,8,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005930,NASDAQ,ASML,PARTNER,30D,29.745,POSITIVE,0.672,98,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,010120,KOSPI,015760,PARTNER,30D,48.6375,POSITIVE,0.621,14,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,017670,NASDAQ,MSFT,PARTNER,30D,9.6525,POSITIVE,0.632,55,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005930,NASDAQ,CDNS,PARTNER,30D,15.925,POSITIVE,0.6,6,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,000660,NASDAQ,NVDA,SUPPLY,30D,50.3925,POSITIVE,0.705,225,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,175330,KOSPI,377300,PARTNER,30D,19.665,NEGATIVE,0.68,5,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,035720,KOSPI,352820,PARTNER,30D,28.8725,POSITIVE,0.64,147,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,030200,KOSPI,272210,PARTNER,30D,9.6425,NEGATIVE,0.68,10,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,028260,KOSPI,034020,PARTNER,30D,24.495,POSITIVE,0.753,17,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,032640,NASDAQ,NFLX,PARTNER,30D,17.475,POSITIVE,0.606,65,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,021240,KOSPI,055550,PARTNER,30D,10.9725,POSITIVE,0.733,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,329180,NASDAQ,PLTR,PARTNER,30D,14.1975,POSITIVE,0.667,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,035420,KOSPI,316140,PARTNER,30D,21.36,NEGATIVE,0.638,33,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,030200,KOSPI,316140,PARTNER,30D,11.205,POSITIVE,0.704,36,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,015760,KOSPI,298040,PARTNER,30D,15.735,POSITIVE,0.648,7,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,024110,KOSPI,030200,PARTNER,30D,18.015,POSITIVE,0.691,15,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,030200,NASDAQ,CSCO,PARTNER,30D,6.5775,POSITIVE,0.72,4,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,030200,NASDAQ,INTC,PARTNER,30D,11.085,POSITIVE,0.667,10,rel-v0.2-typed,2026-09-14T00:00:00Z
NASDAQ,AVGO,KOSPI,005930,SUPPLY,30D,26.4825,POSITIVE,0.7,29,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,316140,KOSPI,377300,PARTNER,30D,14.9775,POSITIVE,0.644,15,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,000100,KOSPI,0126Z0,PARTNER,30D,13.3425,POSITIVE,0.6,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,010140,KOSPI,011070,PARTNER,30D,8.0625,NEGATIVE,0.6,4,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,000720,KOSPI,030200,PARTNER,30D,18.7175,NEGATIVE,0.687,22,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,010120,KOSPI,055550,PARTNER,30D,8.2575,NEGATIVE,0.667,3,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,029780,KOSPI,035420,PARTNER,30D,7.29,POSITIVE,0.8,8,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,0126Z0,KOSPI,207940,PARTNER,30D,34.4775,POSITIVE,0.618,79,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005490,KOSPI,015760,PARTNER,30D,19.215,POSITIVE,0.712,29,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,267250,NASDAQ,GOOGL,PARTNER,30D,11.955,POSITIVE,0.7,4,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,015760,KOSPI,086790,PARTNER,30D,10.1025,POSITIVE,0.738,11,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,005380,NASDAQ,AAPL,PARTNER,30D,8.85,POSITIVE,0.651,88,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,030200,KOSPI,329180,PARTNER,30D,15.2025,POSITIVE,0.711,17,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,000810,KOSPI,377300,PARTNER,30D,13.9875,NEGATIVE,0.64,10,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,000720,KOSPI,071050,PARTNER,30D,7.6575,POSITIVE,0.8,8,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,017670,KOSPI,024110,PARTNER,30D,20.04,POSITIVE,0.66,6,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,071050,KOSPI,323410,PARTNER,30D,52.9575,POSITIVE,0.652,43,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,032640,KOSPI,086790,PARTNER,30D,13.4025,POSITIVE,0.66,7,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,017670,NASDAQ,INTC,PARTNER,30D,16.515,POSITIVE,0.676,20,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,012330,KOSPI,032640,PARTNER,30D,9.1875,POSITIVE,0.6,8,rel-v0.2-typed,2026-09-14T00:00:00Z
KOSPI,006800,KOSPI,024110,PARTNER,30D,20.055,POSITIVE,0.711,7,rel-v0.2-typed,2026-09-14T00:00:00Z
